student_name,age,average_mark,gender,phone_number
Nicole Larkin,22,8.27,f,8836198773
Henry Ferrell,20,6.99,m,4246423091
Holly White,27,7.29,f,3581553941
Ryan Digeorgio,26,5.82,m,2039546826
Floyd Anderson,20,7.22,f,2424741486
Robert Cahill,28,4.58,m,2563572147
Lori Villegas,24,9.77,f,9561507153
Jennifer Maxie,30,6.87,m,7944019557
Cindy Frazier,30,7.0,f,1162051813
Jerome Harper,18,7.09,m,4057889690
Christopher Luna,19,9.31,m,8201461564
David Valdez,20,8.7,f,7775329287
Ted Anderson,28,4.15,f,2593679674
Marie Marn,18,4.53,m,9865628308
James Doyle,18,5.98,f,6650002050
Jerry Pinner,29,5.0,m,3404464096
Eileen Fata,19,8.18,f,4155685133
Gary Simmons,21,8.49,m,5789010720
Willie Haven,29,5.16,f,1959239683
John Meyer,29,8.28,m,6701758625
Leola Murphy,25,8.96,f,7426145071
Nina Baker,23,5.73,m,1862125804
Edwin Zeger,30,7.64,m,3255126812
Mildred Perkins,24,6.81,f,8662194481
Yong Reaid,26,8.31,f,1431115377
Lynn Walker,28,8.42,m,2180124274
Jason Yates,19,7.55,f,7836628812
Cedric Wallace,29,4.08,m,4131705340
Anne Reedy,21,4.15,f,4178469668
Ricky Tetreault,26,6.0,m,5864332206
Gary Littleton,22,6.69,f,5227677140
Brian Deubler,28,6.52,m,4672906991
Adrian Colvin,29,6.69,f,4147674984
Eleanor Schroder,21,7.5,m,5080078771
Jean Gethers,28,6.89,m,4291479138
Matthew Kim,23,8.1,f,4837700669
Jennifer Mclean,19,4.71,f,3302618490
Jesus Weckerly,25,9.68,m,5047503515
Michael Boyd,20,4.94,f,2620759563
Michael Chavarria,28,6.47,m,7030723008
Sydney Anderson,30,7.15,f,7934074816
William Julius,28,6.29,m,6021732188
Richard Meza,19,6.99,f,8705815896
Katherine Roche,28,7.13,m,9174568489
Jacob Figgs,22,6.28,f,6406465534
Thomas Weimer,29,4.32,m,6232569893
Willie Mcgurk,19,5.99,m,2408777774
Minnie Cook,28,7.51,f,6337192383
Loretta Molina,21,8.69,f,2441277053
James Harris,24,4.44,m,4865546348
John Lyons,21,5.78,f,5457961770
Annie Krings,21,7.61,m,7437856678
Carrie Ontiveros,19,4.73,f,2355686657
Marie Clausen,24,4.55,m,7790407831
Robert Hung,23,5.55,f,2218231662
Wesley Shah,23,6.91,m,1001313615
Frank Lopez,30,6.66,f,5100064318
Albert Coral,25,7.12,m,3272239171
Kristine Harvey,22,4.83,m,8573338619
Arlene Bauer,29,8.29,f,8489352604
Connie Figueroa,23,9.86,f,8182123647
Tom Bishop,27,4.48,m,9241523288
James Harrison,19,5.6,f,8180553130
Sheila Stier,30,5.88,m,6446748992
Pearl Mckenna,26,9.45,f,7454122966
Casey Williams,25,7.92,m,6819050479
Yvette Heard,26,4.48,f,1393070425
Paul Paneto,28,4.97,m,2808010673
Christopher Iniguez,18,7.78,f,1402552228
Sheila Hudson,29,5.37,m,3728837413
Marilyn Sexton,21,5.97,m,6829077220
Eric Marchetti,28,5.47,f,3725281424
Veronica Benz,26,7.59,f,9299304063
Mackenzie Horta,24,8.8,m,1563120336
Nellie Cunningham,23,7.64,f,6825388380
Teresa Valiente,28,8.89,m,4863752414
Kate Pospicil,29,8.75,f,9512409690
Lawrence Mccullough,27,5.51,m,2093454744
Robert Hannan,23,7.27,f,2138488344
Paul Miyoshi,18,5.05,m,6280318828
Rebekah Leonardo,18,7.68,f,6030306365
Lillian Sanders,26,4.7,m,6045392408
Russell Tran,21,5.76,m,3916950593
Charles Fletcher,30,6.28,f,8255092315
Sibyl Barthelemy,18,7.47,f,3552477641
Trena Head,23,4.02,m,8461133510
Tracy Hogan,25,4.2,f,4477737533
Christopher Scott,24,5.07,m,4382910825
Peter Langenfeld,19,6.97,f,7392390679
Sara Miller,21,7.37,m,3440663123
Flora Allen,20,9.37,f,9915284443
Sarah Figueiredo,27,8.94,m,2501602577
Ronald Gotay,21,9.74,f,2414814682
Maryanne White,22,8.68,m,4583928253
Bettie Illsley,28,6.84,m,1438441756
Margaret Eychaner,19,5.1,f,2479891776
Frank Stevens,22,5.81,f,8089930673
Anthony Huie,19,5.69,m,3092934433
Jason Wainwright,20,7.13,f,4765956994
Kenneth Robles,18,9.21,m,7628409758
Chad Barnes,27,7.81,f,1493009763
Kelly Holcomb,29,4.03,m,8344572075
Ruby Astin,28,4.1,f,6023266391
Laurie Marshall,20,5.71,m,4943918508
Melanie Kath,20,8.14,f,6720605212
Jessica Dubose,26,9.98,m,4937209371
George Wofford,25,9.36,m,1565315441
Elizabeth Hollyday,23,4.1,f,7497695061
Gloria Gilreath,29,5.5,f,3757324452
Kathleen Pruitt,24,4.43,m,5136064382
James Bohman,20,6.95,f,7711221884
John Ferreira,28,4.88,m,8594087795
Everett Mccollough,28,5.82,f,1722235319
Phyliss Wood,21,4.47,m,6054489709
Jamie Wood,22,5.31,f,1448486459
Ralph Finwall,30,8.17,m,7446074621
Florence Lile,30,6.29,f,4522424663
Geraldine Nelson,22,9.52,m,7882459973
Robin Santiago,27,9.74,m,8471562466
Maureen Daugherty,18,9.49,f,7530478257
Matthew Grogan,28,7.05,f,7430443904
James Ryan,25,9.54,m,6007147768
Brian Christiansen,24,4.82,f,1906836425
Sondra Bui,21,9.7,m,8011674096
Janice Luna,21,7.6,f,5552812477
Roger Felton,20,9.08,m,7136315264
Gregory Harris,28,9.96,f,6647432642
Jewell Pate,22,5.3,m,5300302769
Antionette Blaydes,22,8.9,f,8244964743
Lisa Harrison,23,8.22,m,7368673296
Avery Chestnut,24,4.15,m,5969339507
Alfred Mendez,29,9.9,f,1695060535
Loretta Sullivan,20,7.7,f,7283254060
Matthew Fischer,22,6.28,m,8025678920
Fred Mckane,19,5.32,f,6897046219
Aaron Netolicky,30,9.48,m,7299902800
Mark Phillips,22,6.4,f,4474641608
Curtis Aiello,19,5.2,m,3257609054
Karen Spalding,29,9.24,f,5662722240
Angelita Williamson,18,7.66,m,8054344333
Rita Peterson,22,5.52,f,3813216151
William Childs,18,9.05,m,6693789741
Jackie Hummel,26,5.33,m,7149967396
Lance Cainne,28,6.21,f,6154153254
James Moore,22,7.15,f,4022840182
Bambi Sholders,22,5.03,m,2740229616
Pamela Collins,24,6.44,f,6797068026
John Gray,26,5.99,m,4711467335
Cynthia Greene,30,4.37,f,1498392761
Lori Hennemann,20,6.25,m,3345774226
Thomas Scruggs,23,4.82,f,3255880745
Hattie Dougherty,20,4.15,m,9411242747
Justin Mckenney,28,7.39,f,7928995530
Mark Shippey,28,9.87,m,2145069774
George Berti,19,4.11,m,3177742111
Sheila Miranda,29,9.19,f,1980649526
Gloria Kline,19,5.55,f,4268565236
Ardith Thomas,18,4.24,m,5448557709
Raymond Gagnon,24,6.08,f,2710762578
Pamela Goehner,20,6.97,m,5774761163
Julia Jackson,27,5.56,f,5822164066
Jan Arndt,29,5.03,m,5821433089
James Rivera,29,6.2,f,3839964962
Jennifer Dullea,24,4.31,m,9985176612
Laura Norris,21,9.02,f,3866253021
Amy Marshall,19,9.72,m,7361490231
Todd Wayman,26,6.5,m,4483062912
Louis Parson,29,8.36,f,1510105953
Charles Hawley,24,4.08,f,4619654365
Tammy Munday,25,5.14,m,9532687307
Dawn Oconor,20,9.64,f,3332736091
Ila Tobin,27,5.46,m,7482471905
Gloria Gaffney,22,9.37,f,8734921783
Francis Fletcher,20,4.38,m,3078602570
Tammy Perry,29,9.07,f,8240444677
Robert Carrera,26,5.26,m,4469018423
Sharron Ellis,24,4.94,f,5854265358
Sheila Taylor,26,9.59,m,2218614971
Richard Eaddy,22,7.86,m,4002717847
Billy Chrisman,28,7.46,f,1457322664
Dorothy Daugherty,23,9.13,f,8263777271
Paul Colon,29,7.21,m,4015649673
Justin Mann,30,4.81,f,3159561273
Michelle Torres,29,6.33,m,4089947541
Timothy Mercado,28,6.59,f,4262304061
Christopher Frank,25,8.15,m,5726958853
Johnnie Evans,18,8.86,f,2194063619
Jean Carter,18,7.11,m,5675864879
Matthew Mcdearmont,22,6.88,f,9905290538
Dorothy Yeager,30,4.86,m,0000000000
Ruth Rhodes,24,6.86,m,1165642564
James Powers,25,6.07,f,3897847462
Nell Dyson,29,5.27,f,7560844456
Edward Bailey,27,6.71,m,5673968815
Diana Patton,23,6.92,f,5616277591
Barbara Copeland,19,9.27,m,4989797398
Clarence Cerverizzo,30,4.0,f,9662712410
Daniel Lloyd,20,6.62,m,3784462119
Jeffrey Maxcy,24,4.25,f,7783085660
Brian Heidinger,20,7.28,m,2941843944
Howard Haitz,23,6.78,f,3191761707
Barbara Leroy,27,8.85,m,8197773860
Doris Scantling,26,5.97,m,3634140865
Richard Caruthers,24,5.54,f,5826464051
Mabel Dorch,27,4.56,f,6769669650
Yolanda Conner,27,9.08,m,2803709571
Susan Haley,26,7.99,f,3833060094
Brenda Scott,22,4.09,m,6887681779
George Lawless,24,9.48,f,2407940126
Richard Snider,18,9.99,m,6846142524
Florence Sooter,29,7.92,f,4106348755
Ann Sorensen,19,5.1,m,2956517523
Debbie Feazel,24,7.95,f,9087984691
Blaine Gust,22,5.42,m,5431270645
Gerald Gomez,21,9.62,m,8593624176
Daniel Wilson,25,9.46,f,7385434807
George Lapointe,28,5.96,f,6941071900
Brian Darrow,28,5.92,m,7260144105
Edward Jarvie,27,5.1,f,8527511967
John Paolucci,26,7.67,m,2637483672
Don Dryden,20,5.94,f,4273250935
Tonya Sculley,29,4.54,m,4369797942
William Erling,27,5.14,f,3536615413
Annie Maddox,26,9.59,m,1756393633
James Purcell,19,7.58,f,1772424730
Theresa Morgan,26,9.03,m,4413415262
Sean Dieteman,27,5.96,m,1627824854
Joyce Robison,19,5.89,f,6287319983
Larissa Stalling,23,7.82,f,6331317207
Thomas Ramos,23,6.96,m,5910486368
Kimberly Tarver,29,4.65,f,4861580895
Louie Unrein,30,4.43,m,9706166191
Miguel Bertalan,27,8.19,f,9296763294
Brian Perkins,29,6.69,m,8905632446
Brittney Muller,24,8.6,f,3895052467
Terry Gillikin,19,6.92,m,5623386200
Lela Sanders,25,4.36,f,9848577659
Herman Mcavoy,30,8.17,m,1461611987
Robert Ange,21,6.82,m,6236345009
Stephanie Ramirez,21,6.33,f,6336807454
Noah Minton,25,9.62,f,7686766980
Cynthia Wood,24,6.47,m,2563071916
Sue Mahon,28,6.82,f,8081104669
Lisa Robards,25,5.33,m,7194800388
John Jones,28,8.42,f,1726510272
Roger Williams,26,9.39,m,8212575376
Thomas Black,20,9.29,f,2454362180
Leonore Mcmillian,23,5.66,m,4447089849
Betty Mccoy,19,7.76,f,8274835045
Janice Sousa,21,5.0,m,6097032255
Emma Mottillo,24,8.7,m,9386492012
Kristi Swanson,19,6.24,f,5852363574
Ann Eaton,27,8.44,f,4527243891
Olive Williams,28,6.54,m,5600323603
Paul Rio,27,8.65,f,9519917170
Earl Horan,26,6.6,m,3126268664
Linda Mckoy,25,8.06,f,9500889162
Kevin Brown,23,5.38,m,3977092044
Jack Meza,26,7.07,f,6083875093
Joe Smith,28,7.27,m,1293494594
Don Knox,19,8.12,m,7645144218
Teresa Robotham,26,6.3,f,8520400613
Maryjane Shafer,21,7.26,f,2042904150
Estella Neubauer,24,5.14,f,1648650554
Cassandra Maldonado,25,9.95,f,7315700843
Sherry Bean,26,4.03,f,5079480598
Leonard Jackson,23,8.03,m,7245566339
James Mills,19,5.35,m,5237909327
Kristen Keri,19,6.44,f,9133964072
Jerry Kirk,20,,m,4641535254
Angelo Landrum,28,4.93,m,1748313049
Dora Swarr,22,4.18,f,3045049609
Diane Laird,20,6.12,f,8242180850
Darren Charbonneau,27,4.84,m,6944564683
Barbara Lambert,28,5.43,f,2342775196
Mark Waits,30,5.81,m,4816255420
Ann Mondragon,19,5.76,f,6303405298
Michelle Oneal,23,5.51,f,3655711518
Carl Campbell,25,9.82,m,3625729887
Alice Digangi,27,4.55,m,5787058556
Frances Nez,30,9.64,m,8438794356
Amber Wilson,24,8.96,m,6953801751
Maria Ceraos,27,4.26,f,3159069766
Jennifer Turner,29,4.33,m,3130592191
Larry Smith,29,5.43,f,5101172539
Daniel Dumar,28,9.07,m,9999049985
Mary Macdonald,22,6.04,f,3212002238
Johnnie Yepez,29,6.35,f,5541879822
Stella Hallmark,20,7.76,m,3604722993
Jimmy Dunnaway,27,4.87,f,4752059136
Hilda Bohlke,23,7.34,m,6063998094
Robert Maines,18,8.81,m,3421000522
Richard Shackleford,19,8.86,f,9073263698
Shane Machesky,24,8.83,f,7202689927
Rodolfo Maldonado,18,7.97,f,7990739598
Connie Butler,29,4.52,m,4451079210
Michael Kath,19,9.28,f,8203852661
Josephine Newbury,21,7.71,m,1634320275
Martha Burton,24,8.0,f,5940294729
Evelyn Johnson,24,8.18,f,9608098980
Renee Munn,27,8.84,f,5396403991
Brenna Szymansky,29,7.99,f,7243833251
Luz Roseboro,29,8.46,f,8617499005
Heather Garcia,28,9.98,f,8488429845
Anita Tudor,26,5.05,m,9021012395
Eddie Shiels,30,9.1,f,6652129046
Edwin Broadwell,24,7.35,m,1131993455
Corinne Hamblin,22,8.88,m,1001615970
Connie Berry,24,7.87,m,7760454105
Larry Fields,22,4.37,f,4498608412
Amber Wallin,18,9.29,m,3240524549
Richard Somers,27,4.48,f,2591481797
Steve Williams,27,7.52,m,3585955785
Lee Davis,30,9.91,m,5542802143
Alice Hudson,21,9.25,f,2153182747
Elissa Sinclair,29,7.02,f,2718015895
Anita Mcpherson,21,5.13,f,6604409979
Jackie Johnson,30,9.15,f,4547964732
Howard Smoot,30,7.52,m,0000000000
Robert Gonzalez,28,7.91,m,1121824341
Leticia Wright,21,5.72,f,4669747908
Carl Olson,24,6.19,m,1041025345
Evelyn Daniels,19,4.54,f,8209782923
Robert Hatley,25,4.39,m,5334973696
Kelly Stewart,29,4.5,f,9452816614
Logan Pruitt,18,7.63,m,3029672558
Tammy Wong,30,6.13,f,8037505989
Henry Quinton,24,9.51,m,3224784364
Stanley Monteleone,30,4.76,m,9792395707
Harry Neher,28,9.4,m,3074548655
Jason Rossetti,23,7.23,m,2168085069
Emma Marcus,26,5.36,f,5652613487
Lindsey Cummings,18,6.88,f,2204191935
Miguel Guinn,25,5.41,m,7690515806
James Herring,27,5.65,m,3862376667
Glenda Cisneros,21,7.86,f,5316844098
Gladys Purdom,29,9.43,f,8493206418
Marjorie Rapelyea,25,6.85,f,4021796220
Malcolm Smith,30,6.78,m,8298886039
Erica Broussard,19,8.73,f,1736923449
Emma Mcbride,19,7.36,f,9575967989
Raymond Soileau,18,7.27,m,7874957483
Rikki Gomes,30,7.19,m,3151883595
Thomas Spaur,29,6.4,m,9640849278
Gabrielle Szmidt,29,8.41,m,1578904865
Justin Gonzales,24,7.66,m,6033718081
